taxonID	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Unclassified;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
195	0	601	0	0	0	0	0	13	0	216	18	78	1	0	0	d_Archaea;p_Unclassified;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88560	0	0	0	0	0	0	0	0	0	0	32	30	25	0	99	d_Eukaryota;p_Unclassified;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
309936	18569	0	4919	7508	28278	7	17837	39	15983	4612	61	205	9	9946	3	d_Viruses;p_Unclassified;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
27	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	d_Bacteria;p_Actinobacteriota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Spirochaetota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes A;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes C;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota I;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	d_Bacteria;p_Acidobacteriota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
132	51	0	0	0	0	0	0	0	0	43	3	18	0	0	4	d_Bacteria;p_Cyanobacteria;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes B;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Archaea;p_Halobacteriota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Fusobacteriota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Deinococcota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Campylobacterota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Chloroflexota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Archaea;p_Methanobacteriota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
449	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	d_Archaea;p_Thermoproteota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Planctomycetota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Archaea;p_Thermoplasmatota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
811	0	0	0	0	0	0	0	0	0	8	1	0	8	0	0	d_Bacteria;p_Verrucomicrobiota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	d_Bacteria;p_Myxococcota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Synergistota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
3323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
3734	0	0	0	0	0	0	0	0	0	0	0	7	0	0	11	d_Bacteria;p_Bdellovibrionota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
3985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Caldisericota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
5368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Fibrobacterota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
6492	0	0	0	0	0	0	0	5	0	12	0	0	2	0	11	d_Bacteria;p_Patescibacteria;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
29747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_SAR324;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
34033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Myxococcota A;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
35772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_KSB1;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88561	0	9	82	761	0	0	78	0	0	1	11	3	14	0	0	d_Eukaryota;p_Ascomycota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88579	0	0	0	0	0	920	0	0	0	0	13	11	9	0	4	d_Eukaryota;p_Basidiomycota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Eukaryota;p_Mucoromycota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
88952	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	d_Eukaryota;p_Unclassified_d_Eukaryota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
89155	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Eukaryota;p_Chlorophyta;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
89477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Eukaryota;p_Microsporidia;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
89492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Eukaryota;p_Heterolobosea;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
309937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Viruses;p_Pisuviricota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
309962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Viruses;p_Preplasmiviricota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
310054	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	d_Eukaryota;p_Streptophyta;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
310060	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	d_Eukaryota;p_Chordata;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
310181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Viruses;p_Artverviricota;c_Unclassified;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
4	0	12	0	0	19	0	6	0	0	0	8	0	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
16	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
28	0	0	0	0	0	24	0	0	0	0	2	0	0	0	0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Unclassified;f_Unclassified;g_Unclassified;s_Unclassified
